term,pos,notes,is_case_sensitive,translation_ar,notes_ar,translation_ast,notes_ast,translation_bg,notes_bg,translation_br,notes_br,translation_ca,notes_ca,translation_cs,notes_cs,translation_da,notes_da,translation_de,notes_de,translation_el,notes_el,translation_en_ca,notes_en_ca,translation_en_gb,notes_en_gb,translation_en_us,notes_en_us,translation_eo,notes_eo,translation_es,notes_es,translation_et,notes_et,translation_eu,notes_eu,translation_fa,notes_fa,translation_fi,notes_fi,translation_fr,notes_fr,translation_fy,notes_fy,translation_ga,notes_ga,translation_gd,notes_gd,translation_gl,notes_gl,translation_he,notes_he,translation_hi,notes_hi,translation_hr,notes_hr,translation_hu,notes_hu,translation_ia,notes_ia,translation_id,notes_id,translation_ig,notes_ig,translation_it,notes_it,translation_ja,notes_ja,translation_jv,notes_jv,translation_ka,notes_ka,translation_ko,notes_ko,translation_krl,notes_krl,translation_la,notes_la,translation_lt,notes_lt,translation_mr,notes_mr,translation_ms,notes_ms,translation_nb,notes_nb,translation_nds,notes_nds,translation_nl,notes_nl,translation_nn,notes_nn,translation_oc,notes_oc,translation_pl,notes_pl,translation_pt,notes_pt,translation_pt_br,notes_pt_br,translation_ro,notes_ro,translation_ru,notes_ru,translation_rw,notes_rw,translation_si,notes_si,translation_sk,notes_sk,translation_sl,notes_sl,translation_sr,notes_sr,translation_sr_rs,notes_sr_rs,translation_sv,notes_sv,translation_tr,notes_tr,translation_uk,notes_uk,translation_vi,notes_vi,translation_zh_cn,notes_zh_cn,translation_zh_tw,notes_zh_tw
A real-time build-up strategy game,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Un jeu de stratégie et de construction en temps réel,,,,,,,,,,,,,,,,Valós idejű építkező stratégiai játék,,,,,,,,"Un gioco di strategia in tempo reale, orientato alla costruzione.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Градостроительная стратегия в реальном времени,,,,,,,,,,,,,,Ett uppbyggnadsstrategispel i realtid,,,,,,,,即时战略游戏,,,
A real-time strategy game,noun,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Un jeu de stratégieen temps réel,,,,,,,,,,,,,,,,Valós idejű stratégiai játék,,,,,,,,Un gioco di strategia in tempo reale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Стратегия в реальном времени,,,,,,,,,,,,,,Ett strategispel i realtid,,,,Стратегія в реальному часі,,,,即时战略游戏,,,
AI,noun,"GUI. 
""Artificial Intelligence"", a Computer Player.",false,,,,,ИИ,"Изкуствен интелект, компютърно-управляван противник.",C.U.,,la IA / les IA,,Ul,"Umělá inteligence, počítačový hráč",Kunstig intelligens,,KI,"GUI. ""Künstliche Intelligenz"", die Computergegner.",ΤΝ,,,,,,,,,,IA,"GUI. ""Inteligencia Artificial"", un jugador controlado por el ordenador.",,,,,,,,Tekoäly,IA,,,,,,IF,"Inntinn fhuadain, inntinn boir. gin. -e, iol. -ean",,,,,,,AI,,MI,Mesterséges Intelligencia,,,,,,,IA,IA,AI,,,,,,,,,,,,,,,,,,,,künstelk Speler,,AI,,,,,,SI,,IA (inteligência artificial),,,,IA,Inteligență Artificială,ИИ,Искусственный интелект,,,,,AI,ženský rod (inteligencia),UI,,,,,,AI,,,,,,,,AI,,,
Actions,noun,,false,,,,,,,,,Accions,,Akce,,,,,,Ενέργειες,Κάποτε δράσεις,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azioni,,,,,,,,행동,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Действия,,,,,,,,,,,,,,Insatser,,,,,,,,行动,,,
Add-Ons,noun,,false,,,,,,,,,Complements,,rozšíření,,,,Erweiterungen,,,,,,,,,,,,Complementos,,,,,,,,,,modules complémentaires,,,,,,,,,,,,,,,,Bővítmények,,,,,,,,Estensioni,"""Estensioni"" recommended OI",,,,,,,추가 기능,,,,,,,,,,,,,,Verwiederns,,,,,,,,,,,,,,,,Дополнения,,,,,,,,,,,,,,Tillägg,,,,,,,,扩展,,,
Add-Ons Packager,noun,,false,,,,,,,,,,,správce rozšíření,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bővítménycsomagoló,,,,,,,,Pacchettizzatore di estensioni,,,,,,,,추가 기능 꾸러미 연장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Упаковщик дополнений,,,,,,,,,,,,,,Tilläggsförpackare,,,,,,,,,,,
Advanced Shield,noun,Ware - Armor -Atlanteans,false,,,,,Подобрен щит,,,,Escut millorat,,vylepšený štít,,Avanceret skjold,,Verbesserter Schild,,Προηγμένη Ασπίδα,,,,,,,,,,Escudo Avanzado,Mercancía - Armadura - Atlantes,,,,,,,,Ritarikilpi,Bouclier avancé,,,,,,sgiath adhartach,sgèithe adhartaich | sgiathan adhartach,,,,,,,Poboljšani štit,,Fejlesztett pajzs,,,,,,,,Scudo avanzato,,アドバンストシールド,,,,,,,,,,scutum melius,,,,,,,,Avansert skjold,,Goder Schild,,Verbeterd Schild,,,,,,Zaawansowana tarcza,,escudo de guerra,,Escudo Avançado,,Scut avansat,,Улучшенный щит,,,,,,vylepšený štít,,Napreden ščit,,,,,,Avancerad sköld,,,,покращений щит,,,,高级护盾,,,
Advanced Spear,noun,Ware - Weapon - Empire. Replaces Advanced Lance.,false,,,,,Подобрено копие,,,,Llança millorada,,vylepšené kopí,,Avanceret spyd,,Verbesserter Speer,,Προηγμένο Ακόντιο,,,,,,,,,,Lanza Avanzada,"Mercancía - Arma - Imperio. Reemplaza ""Advanced Lance"".",,,,,,,,,Lance avancée,,,,,,sàr-shleagh,sàr-slèigh | sàr-shleaghan,,,,,,,Poboljšani harpun,,Fejlesztett lándzsa,,,,,,,,Lancia avanzata,,鋼槍,穂先が鋼,,,,,고급 창,,,,,,,,,,,,,,Gode Pieke,,Verbeterde Speer,,,,,,Długa włócznia,,lança avançada,,Lança Avançada,,Suliță avansată,,Улучшенное копье,,,,,,vylepšená kopija,,Napredno kopje,,,,,,Avancerat spjut,,,,покращений спис,,,,高级长枪,,,
Ajanthul,noun,Character - Atlanteans,false,,,,,Аджантул,,Ajanthul,Tudenn,Ajanthul,,Ajanthul,,Ajanthul,,Ajanthul,,Άτζανθουλ,,,,,,,,Ajanthul,,Ajanthul,Personaje - Atlantes,,,,,,,,,Ajanthul,,,,,,Ajanthul,,,,,,,,,,Ajanthul,,,,,,,,Ajanthul,,アジャンスール,,,,,,아잔툴,,,,,,,,,,,,,,Ajanthul,,Ajanthul,,,,,,,,Ajanthul,,,,Ajanthul,,Аджантул,Персонаж — Атланты,,,,,Ajanthul,,,,,,,,Ajanthul,,,,,,,,阿甘图尔,,,
Al’thunran,noun,Placename,false,,,,,Ал'тунран,,Al’thunran,Anv lec'h,Al’thunran,,Al’thunran,,Al'thunran,,Al’thunran,,πρωτεύουσα,,,,,,,,,,Al'thunran,Nombre de lugar,,,,,,,,,Al’thunran,,,,,,Al’tùnran,Al’tùnrain|,,,,,,,,,Al’thunran,,,,,,,,Al’thunran,,アル-サンラン,(保留),,,,,알'툰란,,,,,,,,,,,,,,Alltunraan,,Al'thunran,,,,,,Al’thunran,,Al’thunran,,,,Al’thunran,,Ал'тунран,Топоним,,,,,Al’thunran,,,,,,,,Al’thunran,,,,,,,,Al’thunran,地名,,
